char_code	char	start	width	advance	glyph_ptr	half_res	glyph_data_hex
0x5B	[	8	9	7	0x80EDF4	1	FFFF FFFF 8001 8001 8001
0x5C	\	5	14	5	0x0EDFE	0	8000 4000 B000 4800 3600 0900 0680 0160 0090 006C 0012 000D 0002 0001
0x5D	]	7	9	8	0x80EE1A	1	8001 8001 8001 FFFF FFFF
0x5E	^	5	13	6	0x80EE24	1	2000 6000 C000 8000 C000 6000 2000
0x5F	_	0	23	1	0x80EE32	1	0001 0001 0001 0001 0001 0001 0001 0001 0001 0001 0001 0001
0x60	`	9	6	9	0x0EE4A	0	7000 8800 7000 8C00 4000 0400
0x61	a	2	20	2	0x0EE56	0	0030 0440 0228 04D0 0808 0080 0808 0080 0808 0080 0808 0110 0C00 03F0 0400 03F8 0000 0008 0000 0008
0x62	b	2	20	2	0x0EE7E	0	8000 0000 8000 7FF8 0000 FFF0 0000 0410 0000 0808 0000 0808 0000 0808 0000 0C18 0220 05D0 0220 01C0
0x63	c	3	18	3	0x0EEA6	0	01C0 0220 05D0 0220 0C10 0008 0800 0008 0800 0008 0800 0008 0800 0008 0810 0600 0010 0620
0x64	d	2	20	2	0x0EECA	0	01C0 0220 05D0 0220 0C18 0000 0808 0000 0808 0000 8808 0000 8410 0000 FFF0 0008 FFF0 0008 0000 0008
0x65	e	3	18	3	0x0EEF2	0	01C0 0220 0550 02A0 0410 0888 0000 0888 0000 0888 0000 0888 0000 0C88 0210 0580 0210 0180
0x66	f	3	17	4	0x0EF16	0	0400 0008 0400 0008 0400 3BF8 4400 3BF8 C400 0008 8400 0008 8400 0008 E400 0000 6000
0x67	g	3	18	3	0x0EF38	0	0006 0328 04C1 0310 0CC1 0010 0841 0010 0841 0010 0841 0010 0CC1 1310 0489 1306 0008 1006
0x68	h	2	20	2	0x0EF5C	0	8008 0000 FFF8 0000 FFF8 0000 0408 0000 0800 0000 0800 0000 0800 0008 0C00 03F8 0400 03F8 0000 0008
0x69	i	5	15	4	0x0EF84	0	0008 0800 0008 0800 0008 0800 C7F8 0000 CFF8 0000 0008 0000 0008 0000 0008
